,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
114,2035,Бостон Пати Паб,637492887,бар,Центральный административный округ,Мещанский район,"город Москва, улица Рождественка, дом 6/9/20, строение 1",45,37.624017857177,55.761627823940294,"{type=Point, coordinates=[37.624017857177, 55.7616278239403]}",Средний
115,2037,Рюмочная,637492948,бар,Центральный административный округ,Мещанский район,"город Москва, улица Рождественка, дом 6/9/20, строение 1",65,37.62380624834166,55.76143024851846,"{type=Point, coordinates=[37.62380624834166, 55.761430248518444]}",Средний
116,2044,Бюргер,637493256,бар,Центральный административный округ,Красносельский район,"город Москва, Докучаев переулок, дом 6, строение 2",60,37.64396282251997,55.77347042270459,"{type=Point, coordinates=[37.643962822519974, 55.77347042270459]}",Средний
117,2062,Буфет,637493818,бар,Центральный административный округ,Пресненский район,"город Москва, Большая Никитская улица, дом 19/13, строение 1",26,37.605371140105696,55.75678629700499,"{type=Point, coordinates=[37.6053711401057, 55.756786297005]}",Маленький
118,2123,Винный кофейный бар 45,637495269,бар,Центральный административный округ,район Хамовники,"город Москва, Гоголевский бульвар, дом 17, строение 1",20,37.59901286837104,55.746777393898974,"{type=Point, coordinates=[37.599012868371034, 55.74677739389897]}",Маленький
119,2138,Попкорн Бар,637495605,бар,Центральный административный округ,район Замоскворечье,"город Москва, улица Бахрушина, дом 25",5,37.637379772106826,55.732993940365546,"{type=Point, coordinates=[37.637379772106826, 55.73299394036555]}",Маленький
120,2143,бар «Центральный»,637495712,бар,Центральный административный округ,район Замоскворечье,"город Москва, улица Бахрушина, дом 25",30,37.63741254945084,55.73296879080142,"{type=Point, coordinates=[37.637412549450836, 55.73296879080142]}",Маленький
121,2144,Бар ЛОББИ гостиницы Балчуг,637495714,бар,Центральный административный округ,район Замоскворечье,"город Москва, улица Балчуг, дом 1",50,37.625876472022576,55.748234852595466,"{type=Point, coordinates=[37.62587647202258, 55.748234852595466]}",Средний
122,2153,Бар,637495928,бар,Центральный административный округ,район Замоскворечье,"город Москва, Кожевническая улица, дом 15, строение 1",35,37.648817793871864,55.729103662074564,"{type=Point, coordinates=[37.64881779387187, 55.729103662074564]}",Средний
123,2180,BottomsUp,637496791,бар,Центральный административный округ,район Замоскворечье,"город Москва, Пятницкая улица, дом 29",50,37.629009278606325,55.74092500741593,"{type=Point, coordinates=[37.62900927860632, 55.74092500741592]}",Средний
124,2184,Будвайзер Бар,637496899,бар,Центральный административный округ,район Замоскворечье,"город Москва, Люсиновская улица, дом 9",80,37.62364916029496,55.7284390502964,"{type=Point, coordinates=[37.62364916029496, 55.728439050296394]}",Большой
125,2190,Блэк Харп,637497113,бар,Центральный административный округ,район Замоскворечье,"город Москва, Пятницкая улица, дом 14, строение 6",50,37.6276534683679,55.74292050096344,"{type=Point, coordinates=[37.62765346836791, 55.742920500963436]}",Средний
126,2197,СТОЙ-КА - БАР,637497330,бар,Юго-Западный административный округ,Обручевский район,"город Москва, улица Обручева, дом 11",48,37.51574769145874,55.659847234571245,"{type=Point, coordinates=[37.51574769145874, 55.65984723457125]}",Средний
