,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
9550,Кафетерий «Русский лес»,645581725,кафе,Зеленоградский административный округ,район Силино,"город Москва, город Зеленоград, корпус 1204",10,37.190385,55.995009,"{type=Point, coordinates=[37.190385, 55.995009]}"
9551,Донер и пекарня,645581729,кафе,Центральный административный округ,Тверской район,"город Москва, Садовая-Каретная улица, дом 20, строение 1",10,37.610325805600645,55.77262661337279,"{type=Point, coordinates=[37.61032580560065, 55.77262661337279]}"
9552,Кафе,645581733,кафе,Южный административный округ,Нагорный район,"город Москва, Варшавское шоссе, дом 28А",40,37.61928888916051,55.68318790938937,"{type=Point, coordinates=[37.61928888916051, 55.68318790938937]}"
9553,Кафе Олимпик,645581738,кафе,Южный административный округ,Нагорный район,"город Москва, Электролитный проезд, дом 3Б, строение 6",8,37.61308849903846,55.675870381156166,"{type=Point, coordinates=[37.61308849903846, 55.67587038115617]}"
9554,КОФЕЙНЯ,645581742,кафе,Южный административный округ,район Нагатинский Затон,"город Москва, Судостроительная улица, дом 32",0,37.685584024580045,55.68365171157089,"{type=Point, coordinates=[37.68558402458005, 55.68365171157089]}"
9555,Кофейня Coffeeandthecity,645581747,кафе,Зеленоградский административный округ,район Матушкино,"город Москва, город Зеленоград, Панфиловский проспект, дом 6А",6,37.199892602098615,56.008842540230106,"{type=Point, coordinates=[37.19989260209861, 56.008842540230106]}"
9556,Арт-кафе «Красный крокодил»,645581751,кафе,Южный административный округ,район Чертаново Южное,"город Москва, улица Академика Янгеля, дом 2",25,37.599831,55.596437,"{type=Point, coordinates=[37.599831, 55.596437]}"
9557,Кофейня Arti Coffee,645581756,кафе,Северный административный округ,район Сокол,"город Москва, улица Алабяна, дом 10, корпус 2",10,37.503688613644165,55.80016101946445,"{type=Point, coordinates=[37.50368861364417, 55.80016101946445]}"
9558,Флориста-Бариста,645581772,кафе,Центральный административный округ,район Якиманка,"город Москва, улица Крымский Вал, дом 8",5,37.608768356659084,55.731378951432205,"{type=Point, coordinates=[37.608768356659084, 55.73137895143221]}"
9559,Тирольские пироги,645581776,кафе,Центральный административный округ,район Якиманка,"город Москва, улица Шаболовка, дом 25, корпус 2",20,37.610962891042696,55.7223745230944,"{type=Point, coordinates=[37.610962891042696, 55.7223745230944]}"
9560,COFIX,645581780,кафе,Западный административный округ,район Дорогомилово,"город Москва, площадь Киевского Вокзала, дом 1",10,37.56634043396508,55.743081347626315,"{type=Point, coordinates=[37.56634043396508, 55.743081347626315]}"
9561,Cofix-Bright,645581785,кафе,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 27, строение 2",10,37.59755043503548,55.768647233768895,"{type=Point, coordinates=[37.59755043503548, 55.7686472337689]}"
9565,Кофе Хаус,645581834,кафе,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 19А",96,37.602768223396005,55.76581113676809,"{type=Point, coordinates=[37.60276822339601, 55.76581113676809]}"
9569,Домино'с Пицца,645581903,кафе,Восточный административный округ,район Измайлово,"город Москва, 3-я Парковая улица, дом 24",15,37.78604365448039,55.79472075419049,"{type=Point, coordinates=[37.78604365448039, 55.794720754190486]}"
9576,KFC,645582070,кафе,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, дом 112",18,37.63750082165723,55.80637428837428,"{type=Point, coordinates=[37.637500821657234, 55.80637428837428]}"
9577,Пирожковпая,832187132,кафе,Центральный административный округ,Басманный район,"город Москва, Новая Басманная улица, дом 20, строение 1",10,37.66145796480218,55.769553447183995,"{type=Point, coordinates=[37.66145796480219, 55.76955344718399]}"
9579,Сибириада,832187143,кафе,Западный административный округ,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 111",3,37.482856428208,55.66063145878188,"{type=Point, coordinates=[37.482856428207995, 55.66063145878188]}"
9580,Суши-Роллы,832187147,кафе,Северо-Западный административный округ,район Покровское-Стрешнево,"город Москва, улица Габричевского, дом 10, корпус 1",15,37.4602080020517,55.816535596661936,"{type=Point, coordinates=[37.4602080020517, 55.81653559666194]}"
9581,Мацони,832187149,кафе,Северо-Восточный административный округ,Алексеевский район,"город Москва, улица Бориса Галушкина, дом 18",15,37.65672227424016,55.82281911853002,"{type=Point, coordinates=[37.65672227424016, 55.82281911853003]}"
9582,Кофейня Voodoo,832187150,кафе,Юго-Восточный административный округ,район Лефортово,"город Москва, Волочаевская улица, дом 18",4,37.680012594656255,55.754728525326875,"{type=Point, coordinates=[37.680012594656255, 55.75472852532687]}"
9585,SUSHI LOVE,832187157,кафе,Северо-Восточный административный округ,район Отрадное,"город Москва, улица Декабристов, дом 20, корпус 1",4,37.60693442833343,55.86298424373779,"{type=Point, coordinates=[37.606934428333425, 55.86298424373779]}"
