,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
10198,Коктейльная,861066764,бар,Центральный административный округ,Тверской район,"город Москва, Столешников переулок, дом 11",30,37.61583521835753,55.763373176713245,"{type=Point, coordinates=[37.615835218357525, 55.763373176713245]}"
10218,Бир Бургер,861066811,бар,Юго-Западный административный округ,Гагаринский район,"город Москва, Ленинский проспект, дом 70/11",40,37.54410766653897,55.68801032449232,"{type=Point, coordinates=[37.54410766653897, 55.68801032449232]}"
10228,Бар «Мориарти бар»,861066833,бар,Центральный административный округ,Пресненский район,"город Москва, Рочдельская улица, дом 15, строение 11-11А",45,37.559902477191116,55.756597220852164,"{type=Point, coordinates=[37.55990247719112, 55.75659722085217]}"
10235,Бар «Опята»,861066857,бар,Южный административный округ,район Царицыно,"город Москва, Пролетарский проспект, дом 20, корпус 1",12,37.65741015627436,55.63359540097632,"{type=Point, coordinates=[37.65741015627436, 55.63359540097632]}"
10243,Проект 6-2,861066876,бар,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 6/2",40,37.59749306086501,55.75171555227066,"{type=Point, coordinates=[37.597493060865006, 55.75171555227067]}"
10307,Пивной бар,878845900,бар,Восточный административный округ,район Перово,"город Москва, Новогиреевская улица, дом 15",20,37.79583650783513,55.75840693926775,"{type=Point, coordinates=[37.79583650783514, 55.75840693926775]}"
10310,Золотая вобла,878845919,бар,Центральный административный округ,Мещанский район,"город Москва, Протопоповский переулок, дом 3",100,37.63482468693904,55.78060670825477,"{type=Point, coordinates=[37.634824686939034, 55.78060670825477]}"
10338,Кальянная бар,878846057,бар,Южный административный округ,район Чертаново Южное,"город Москва, улица Академика Янгеля, дом 2",25,37.598886,55.596261,"{type=Point, coordinates=[37.598886, 55.596261]}"
10361,Джим энд Джек,878846234,бар,Центральный административный округ,Басманный район,"город Москва, Мясницкая улица, дом 38, строение 1",42,37.640150038050756,55.76613012167925,"{type=Point, coordinates=[37.640150038050756, 55.766130121679254]}"
10385,ЛавКрафт,878846382,бар,Западный административный округ,район Дорогомилово,"город Москва, площадь Победы, дом 2, корпус 1",40,37.52174859855456,55.737775287059385,"{type=Point, coordinates=[37.52174859855456, 55.737775287059385]}"
10403,Бар №1 магазин разливного пива,878846445,бар,Северо-Западный административный округ,район Митино,"город Москва, Пятницкое шоссе, дом 16",16,37.384811377558954,55.8428671903031,"{type=Point, coordinates=[37.38481137755895, 55.8428671903031]}"
10407,Кофе на вынос,878846465,бар,Северо-Западный административный округ,район Митино,"город Москва, Пятницкое шоссе, дом 15, корпус 4",0,37.37886602059928,55.84174441426769,"{type=Point, coordinates=[37.378866020599276, 55.84174441426769]}"
10418,МСК,878846501,бар,Центральный административный округ,Тверской район,"город Москва, Никольская улица, дом 25",5,37.624831079261405,55.759095208218326,"{type=Point, coordinates=[37.6248310792614, 55.759095208218326]}"
10442,Пивной бар,878846609,бар,Восточный административный округ,район Измайлово,"город Москва, 3-я Парковая улица, дом 33",20,37.78219980615393,55.79553344439128,"{type=Point, coordinates=[37.78219980615394, 55.79553344439128]}"
