,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
2822,9163,Бутбая М.М.,637550359,столовая,Новомосковский административный округ,поселение Щербинка,"город Москва, город Щербинка, Симферопольское шоссе, дом 8",12,37.574768,55.510048,"{type=Point, coordinates=[37.574768, 55.510048]}",Маленький
2823,9167,Ланч Хаус,637550365,столовая,Новомосковский административный округ,поселение Московский,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 4",70,37.434721,55.637337,"{type=Point, coordinates=[37.434721, 55.637337]}",Средний
2824,9197,Столовая при МАОУ СОШ № 2,637550420,столовая,Троицкий административный округ,поселение Троицк,"город Москва, город Троицк, микрорайон ""В"", дом 26",250,37.299762,55.49018,"{type=Point, coordinates=[37.299762, 55.49018]}",Большой
2825,9202,Кафе Зельгрос,637550438,столовая,Новомосковский административный округ,поселение Внуковское,"город Москва, поселение Внуковское, Боровское шоссе, 29-й километр, домовладение 4, строение 1",0,37.30948575,55.62910166,"{type=Point, coordinates=[37.30948575, 55.62910166]}",Маленький
2826,9205,ГБОУ Школа №2117,637550633,столовая,Новомосковский административный округ,поселение Щербинка,"город Москва, город Щербинка, Железнодорожная улица, дом 41",55,37.562111382754225,55.50202233327708,"{type=Point, coordinates=[37.56211138275423, 55.50202233327708]}",Маленький
2827,9206,ГБОУ Школа №2120,637550662,столовая,Новомосковский административный округ,поселение Щербинка,"город Москва, город Щербинка, улица 40 лет Октября, дом 8",192,37.569303107893035,55.51069069710963,"{type=Point, coordinates=[37.56930310789303, 55.51069069710963]}",Большой
2828,9214,Школа №2073,637550950,столовая,Троицкий административный округ,поселение Кленовское,"город Москва, поселение Кленовское, село Кленово, Центральная улица, дом 2",70,37.345496999999995,55.32280600000001,"{type=Point, coordinates=[37.345497, 55.322806]}",Средний
2829,9215,Пекарня «Печной дар»,637550951,столовая,Троицкий административный округ,поселение Краснопахорское,"город Москва, город Троицк, Городская улица, дом 3",0,37.324289,55.458604,"{type=Point, coordinates=[37.324289, 55.458604]}",Маленький
2830,9222,КП ОУСЦ КРЫЛАТСКОЕ,637551271,столовая,Западный административный округ,район Крылатское,"город Москва, Крылатская улица, дом 2, строение 30",50,37.4351688848564,55.754721522904994,"{type=Point, coordinates=[37.4351688848564, 55.754721522905]}",Маленький
2831,9252,СТОЛОВАЯ при общежитии МГУ,637552120,столовая,Западный административный округ,район Раменки,"город Москва, Ломоносовский проспект, дом 27, корпус 11",120,37.513269,55.696082999999994,"{type=Point, coordinates=[37.513269, 55.696083]}",Средний
